N,TritonCPU,TorchNativeCPU,TorchJitCPU,TritonGPU,TorchNativeGPU,TorchJitGPU
256.000000,2.064134,6721.641258,12.089282,953.250914,926.303883,279.471220
384.000000,1.427934,10082.461887,14.538785,1173.779141,1139.756496,361.744246
512.000000,1.862394,4.273048,0.215693,1365.333285,1304.198988,427.292573
640.000000,1.057063,16384.000414,2.606230,1482.714967,1434.048180,478.364979
768.000000,1.314943,19660.800497,3.788646,1566.597670,1533.005829,514.175873
896.000000,1.433042,2903.493758,25.316042,1635.479435,1650.187096,539.867014
1024.000000,1.704231,5793.237704,4.737721,1731.752236,1724.631656,560.885789
1152.000000,0.938742,2331.320106,29.174653,1666.169544,1384.563337,576.844996
1280.000000,1.035611,1669.706921,3.467926,1720.105029,1466.129759,580.221344
1408.000000,1.134977,1394.383037,3.981179,1764.739306,1355.067729,574.190356
1536.000000,1.238701,1264.360085,29.353512,1803.743111,1444.319524,562.339627
1664.000000,1.321726,1215.360943,25.419742,1840.103656,1378.589017,551.257195
1792.000000,1.419297,1020.582896,29.863265,1862.952190,1447.167201,549.074794
1920.000000,1.504865,4.031438,34.748062,1892.281048,1405.346734,547.197346
2048.000000,1.077517,8.965406,3.305011,1911.715638,1789.378900,524.812792
2176.000000,0.294998,14.396723,4.992509,1877.189620,1461.130520,514.958155
2304.000000,0.306245,9.390644,0.868473,1898.065916,1527.052421,506.395380
2432.000000,0.340168,4.673500,1.571016,1906.136930,1502.937799,500.023707
2560.000000,0.372082,4.841107,4.276171,1927.529419,1565.038854,494.657969
2688.000000,0.399476,12.452214,3.053234,1954.909076,1423.958576,495.323361
2816.000000,0.426026,5.874968,9.263604,1971.007567,1479.519711,493.004611
2944.000000,0.481893,12.753700,1.065860,1984.631941,1463.425181,492.832452
3072.000000,0.447130,12.478542,3.116455,1992.227951,1521.881056,493.060803
3200.000000,0.552527,11.098335,3.796706,2000.488381,1430.917046,489.805667
3328.000000,0.591536,11.507677,3.862675,2008.174426,1469.543792,489.707132
3456.000000,0.661245,7.643260,3.529197,2017.641998,1469.051089,488.433365
3584.000000,0.694238,12.432935,1.652516,2023.719928,1514.970525,487.385919
3712.000000,0.744875,6.756409,1.340563,2032.667340,1479.022561,488.320649
3840.000000,0.807834,7.347579,2.754261,2042.680531,1511.206751,486.894501
3968.000000,0.898446,7.827817,1.443440,2043.879272,1509.372952,484.410132
4096.000000,0.993166,11.610803,4.193247,2030.156924,1969.156881,482.519863
4224.000000,0.213163,6.732931,2.717626,2041.234477,1851.616365,482.796741
4352.000000,0.224781,7.598947,2.201845,2051.771632,1860.729795,485.398961
4480.000000,0.237125,7.407565,2.567210,2058.106796,1855.042480,485.477556
4608.000000,0.243682,8.491853,1.497450,2065.029379,1874.688861,483.759677
4736.000000,0.257154,8.634304,1.575315,2069.852403,1802.849075,485.743607
4864.000000,0.258724,9.470880,1.600527,2072.715855,1815.137066,484.201247
4992.000000,0.271681,8.651266,3.136052,2074.597484,1792.359007,485.497944
5120.000000,0.253121,8.845309,2.531185,2080.507857,1828.061397,484.107108
5248.000000,0.296031,10.850616,3.025790,2079.702879,1745.356325,485.539553
5376.000000,0.302761,9.693446,2.984772,2085.236301,1767.830464,485.751702
5504.000000,0.321925,8.312115,3.281602,2086.670062,1753.062501,485.996031
5632.000000,0.326795,8.890909,1.731966,2088.796761,1775.605883,485.227227
5760.000000,0.341183,9.767692,2.559743,2082.711930,1733.247100,487.135778
5888.000000,0.346874,8.528421,2.734954,2071.928494,1759.355696,487.177757
6016.000000,0.373300,9.783791,2.149229,2067.589712,1744.656983,487.102390
6144.000000,0.346419,8.546241,3.477972,2065.481347,2007.164139,485.582987
6272.000000,0.400988,9.397698,1.929135,2065.121588,1974.339939,486.223627
6400.000000,0.404684,9.890196,2.665637,2065.427076,1974.570717,488.418535
6528.000000,0.433513,9.660266,1.971570,2070.519424,1960.889345,488.895779
6656.000000,0.436094,8.870537,3.315181,2076.071831,1972.718959,490.323665
6784.000000,0.458240,9.883367,1.987256,2078.018499,1926.460353,489.833295
6912.000000,0.464696,9.427398,2.079239,2079.896520,1928.054474,491.247091
7040.000000,0.475881,8.701271,2.313536,2080.507892,1904.109900,488.097765
7168.000000,0.465949,9.223654,1.991520,2082.869432,1921.977493,489.988771
7296.000000,0.515811,10.335579,3.301241,2085.153199,1879.050298,491.762636
7424.000000,0.518909,10.699168,2.327715,2090.232617,1892.972184,492.018378
7552.000000,0.547524,9.023111,2.777216,2089.502292,1877.001863,491.577325
7680.000000,0.558943,8.904388,3.044651,2094.359546,1897.302715,492.844528
7808.000000,0.573746,9.407937,2.155218,2095.228537,1862.859236,491.842494
7936.000000,0.602423,9.565813,2.716245,2097.693379,1866.436341,492.886322
8064.000000,0.625351,9.080891,2.688298,2099.017712,1852.296117,493.812723
8192.000000,0.632891,8.491087,3.091075,2100.828500,1964.085153,489.645600
8320.000000,0.210059,8.868680,2.349501,2093.801908,1961.252295,486.880572
8448.000000,0.218118,9.864848,2.035759,2093.345958,1958.069665,488.122594
8576.000000,0.218086,8.881474,2.210013,2094.401130,1951.516528,487.581145
8704.000000,0.215781,9.017189,2.414162,2101.602487,1949.878752,488.431410
8832.000000,0.224216,8.616946,2.145779,2102.270493,1928.762603,488.361595
8960.000000,0.236972,8.638820,2.047983,2101.474946,1925.102824,489.335447
9088.000000,0.233556,9.110937,2.758421,2103.076190,1912.083814,488.997546
9216.000000,0.271491,9.024675,2.750268,2106.514229,1911.521935,490.600118
9344.000000,0.245383,9.463523,2.548388,2107.545323,1884.628013,491.133154
9472.000000,0.259225,9.379106,2.174369,2108.778789,1890.338656,491.665336
9600.000000,0.251118,8.770498,2.805777,2108.622860,1876.388596,493.023728
9728.000000,0.255885,9.753078,3.038894,2109.587418,1877.751514,492.849391
9856.000000,0.266435,8.877081,2.981977,2110.969319,1854.224587,493.366110
9984.000000,0.274251,9.280554,2.856674,2114.939172,1859.853677,494.515634
10112.000000,0.274037,9.418224,2.785587,2116.657401,1851.696642,494.800383
10240.000000,0.323778,9.381741,2.879631,2117.907402,1851.299493,496.332065
10368.000000,0.287738,11.640306,2.898593,2114.485638,1832.383883,494.139395
10496.000000,0.282930,8.696725,3.162052,2120.320303,1819.519879,494.930178
10624.000000,0.297618,9.494004,2.324512,2116.532286,1799.367535,494.229309
10752.000000,0.297267,9.079782,2.384951,2121.396557,1788.506868,495.680160
10880.000000,0.307115,9.368305,2.736341,2118.083648,1792.617843,494.940925
11008.000000,0.318338,8.619087,2.501496,2125.625455,1765.694185,495.589884
11136.000000,0.316433,9.810107,3.311211,2123.908309,1749.906262,495.600149
11264.000000,0.362534,9.643561,2.940359,2124.187147,1723.600666,496.634486
11392.000000,0.318062,8.744130,2.556974,2122.913130,1713.233680,496.865502
11520.000000,0.338096,8.926269,2.843433,2124.726263,1719.728853,498.004422
11648.000000,0.342946,12.372633,3.064032,2121.019346,1706.007572,497.821431
11776.000000,0.334962,8.636952,2.524201,2124.867613,1684.635927,497.981587
11904.000000,0.354268,8.775497,2.899002,2128.832757,1678.327935,498.739657
12032.000000,0.359849,13.066201,3.261229,2130.514947,1688.817485,499.069108
12160.000000,0.367783,9.103061,2.411492,2128.519716,1689.415939,499.532242
12288.000000,0.402901,8.759676,2.945125,2124.415271,1615.472089,500.951971
12416.000000,0.377690,9.596898,2.872390,2129.823878,1643.270517,500.324033
12544.000000,0.384734,10.148570,3.228856,2131.252024,1614.207584,500.606249
12672.000000,0.393562,9.426533,2.888603,2129.677970,1594.902743,500.313386
